Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Please select the most relevant choice.,Please select the option that best applies to you.,What musical instrument(s) do you play?,How long have you been playing?,HowLongPlayingFormatted,How many hours per day do you currently play your instrument(s)?,HoursPerDayFormatted,How many hours per day or per week do you currently play your instrument(s)? (Please specify per day,What are your major musical genres? - Selected Choice,What are your major musical genres? - Other - Text,When did you initiate your career in conducting and how?,Please state your music experience in the levels of music training given below. - High school - Music experience,Please state your music experience in the levels of music training given below. - Some college - Music experience,Please state your music experience in the levels of music training given below. - Associate’s degree - Music experience,Please state your music experience in the levels of music training given below. - Bachelor’s degree - Music experience,Please state your music experience in the levels of music training given below. - Master's degree - Music experience,Please state your music experience in the levels of music training given below. - PhD or professional degree - Music experience,"If applicable, what other types of musical training did you receive?","Have you completed any music examinations, juries, or received awards?","When, where, and which ones? (Referring to music examinations, juries, awards)",What are the most enjoyable aspects of your musical life?,What are some of your most vivid music-related memories?,"Do you have memories that also include specific musical moments (performing, listening, etc.)?",Can a piece of music take you to a different place and time?,Please share some examples of music making taking you to a different place and time.,With whom do you play music?,Are there any musicians in your family or amongst your friends?,How has your family's/friend's musicianship impacted you?,How has COVID-19 affected your ability to be a musician?,Which of the following performance and rehearsal options are currently available to you?,PRIVLESSONSPre,PRIVLESSONSDuring,COURSEWORKPre,COURSEWORKDuring,WARMUPPre,WARMUPDuring,FORMALTRAININGPre,FORMALTRAININGDuring,PERFORMANCEPre,PERFORMANCEDuring,REHEARSALPre,REHEARSALDuring,In what way has COVID-19 affected your income from music?,In what way has COVID-19 affected available rehearsal/practice space for you?,In what way has COVID-19 affected your motivation to play?,Please share any additional information on how COVID-19 has affected your ability to be a musician?,"Please list all of the countries where you have lived and the length of time, including your birthplace.",Please list the first language(s) of your parent(s)/guardian(s).,Where did your parent(s)/guardian(s) grow up?,What languages(s) does your family use with you (distinguish context if different for each language)?,"What exposure have you had to your first language, second language, ... n-th language in your family?","What exposure have you had to your first language, second language, ... n-th language in your community?","What exposure have you had to your first language, second language, ... n-th language in your study/living abroad?",In which countries do you have relatives and friends whom you visit frequently?,How has COVID-19 affected your ability to interact as a bi/multilingual and use languages?,In what way has COVID-19 affected your accessibility to persons in your bi- and multilingual communities?,In what way has COVID-19 affected travel for you?,In what ways has COVID-19 impacted your interactions with others in general?,In what ways has COVID-19 impacted your income?,In what ways has COVID-19 impacted your course delivery of language courses?,Please share any comments about language learning and/or teaching during COVID-19 if you are a student or teacher.,HIGHSCHOOLLANGSTUDIED,HIGHSCHOOLSEMESTERS,HIGHSCHOOLINSTRUCTION,SOMECOLLEGELANGSTUDIED,SOMECOLLEGESEMESTERS,SOMECOLLEGEINSTRUCTION,ASSOCIATESLANGSTUDIED,ASSOCIATESSEMESTERS,ASSOCIATESINSTRUCTION,BACHELORSLANGSTUDIED,BACHELORSSEMESTERS,BACHELORSINSTRUCTION,MASTERSLANGSTUDIED,MASTERSSEMESTERS,MASTERSINSTRUCTION,PHDLANGSTUDIED,PHDSEMESTERS,PHDINSTRUCTION,"Have you taken the SAT-II, IB, AP, Oral Proficiency, TOEFL, or other standardized tests of a language? If so, please list the test and your scores.",Why did you decide to learn your second language?,"Do you have ADHD /ADD or any other learning disorders or cognitive impairment? If yes, please explain.","Do you have any history of hearing or visual problems?  If yes, please explain.",FIRSTPROFICIENCY,FIRSTAGE,FIRSTOFTENREAD,FIRSTOFTENWRITE,FIRSTOFTENSPEAK,FIRSTOFTENLISTEN,SECONDPROFICIENCY,SECONDAGE,SECONDOFTENREAD,SECONDOFTENWRITE,SECONDOFTENSPEAK,SECONDOFTENLISTEN,THIRDPROFIENCY,THIRDAGE,THIRDOFTENREAD,THIRDOFTENWRITE,THIRDOFTENSPEAK,THIRDOFTENLISTEN,FOURTHPROFICIENCY,FOURTHAGE,FOURTHOFTENREAD,FOURTHOFTENWRITE,FOURTHOFTENSPEAK,FOURTHOFTENLISTEN,Age,Gender
9/19/20 17:27,9/19/20 18:02,IP Address,96.59.142.102,100,2140,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,I sing.,For 12 years.,12,,0.57,About 4 hours per week,"Classical,Jazz,Popular",,,"A lot!! I participated in 4 of the choir at my school (including the top ones), the county choir every year, the state choir ever year, and solo singing (weekly lessons).",Yes. I'm in the Duke Chorale.,,,,,"In middle school I was in the state and county choir, as well as in my high school choir. I also took some piano lessons from the ages of 10-12 and 14-18, but I no longer play.",Yes,"I'm not sure if this counts, but I did Solo & Ensemble in high school (for voice). Freshman-Senior year, I received a ""Superior"" (highest scale score) at the county level, and Sophomore and Junior year, I also received a ""Superior"" at the state level. I also had to pass musical (theory and performance) evaluations to be accepted into the state choir 6th-12th grade every year. I was voted Most Outstanding Freshman and Most Outstanding Sophomore in my high school choir.",Being able to collaborate with peers and build community through such an intimate and vulnerable experience. It is also just an incredible stress reliever because of the synergistic nature of singing with others.,"I was in the state choir my junior year of high school. The conductor, Dr. Craig Hella Johnson, was one of the most passionate individuals I've ever met. Throughout the entire concert (in a truly magnificent music hall), I truly was on the verge of tears and had goosebumps. The entire choir was so connected with each and with the director. It was so evident just HOW present the director was. At moments he would just entirely stop conducting, close his eyes, and start dancing, and the choir went on so so so beautifully and in such a connected way. We were truly one with each other and the music that night. I have so many memories I could talk about here witnessing audience members in small concerts being moved to tears--and in turn, me being moved to tears--but that one sticks out to me the most. I'll never forget it. ","To be honest, I'm not sure how this question varies from the previous one, so I'll just tell another memory. One time, my choir was singing at a nursing home, and we were about to sing ""Silent Night"" in German, and one of the nursing assistants at the facility pointed out to one of the residents that she spoke German. However, the resident didn't know what she was talking about. By the end of the song, the resident was singing along with us in German! She had remembered her German!",,,"My choir, my best friends, my sister",Yes,"No one else in my family is musical except for my sister. We grew up singing and performing together. We'd always be singing around the house, and my parents always pointed out how that brightened up the house so much. My best friends have always come from the various music programs and choirs I've been in. Out of my core friend group in high school, I am actually the only one who isn't majoring in a music-related field (e.g. Voice performance, musical theatre, music engineering). Sharing such special memories and experiences with my best friends has truly brought us all closer and given us such a strong love I have struggled to find again. Some of my best memories with them are just casually hanging out and jamming out together. Some of them were in jazz band and introduced me to jazz; now it's my absolute favorite types of music. They inspired to continue my practice every day and to never let it go, even if I am not majoring in it. ",Negative,"Virtual (live),Virtual (pre-recorded)",0,0,0,0,1,0,0,0,1,0,5,1,,Negative,Negative,"I miss singing with people so much... Duke Chorale is doing virtual rehearsals over Zoom, but we are all on mute while we rehearse, so we can't even hear each other sing. Effectively, we are singing along in our bedrooms while watching a lagging video of our conductor. Because many of my classes now have asynchronous components of work because of COVID-19, this semester has been so much busier for me, so I have also had to dial down the number of hours I can spend rehearsing with the choir every week. ",USA-20 years,Spanish (both parents),Colombia (both parents),"At home, my parents mostly speak to me in Spanish, and I speak to them in English. However, I speak with my extended family in Spanish. ","I grew up speaking both Spanish and English at the same time. However, as I got older/spent more time in school with my English-speaking friends, English slowly became my dominant language, so that is what I started speaking at home too. Gradually, I have gotten less fluent in Spanish, since I am speaking it less at home, but I still understand it perfectly since my parents almost exclusively speak to me in Spanish. ","I have pretty much exclusively communicated with my community in English. As I mentioned above, I learned Spanish and English at the same time, but I consider English my dominant language now just because I have practiced it more (because my community speaks English). This summer, however, I have started volunteering 4 hours a week at a hospital with Spanish-speaking patients. It's pretty much my first time communicating with my community in Spanish.","Pretty much all my schooling has been in English. I have taken a few Spanish classes, however. ","None. I have relatives in Colombia, but I don't visit them. ",It actually prompted me to start volunteering in Spanish at a hospital. This is my first time using Spanish with my community. ,Positive,Negative,Negative,,,"Not sure if this counts, but I was supposed to study abroad in Madrid, Spain this semester, and I was going to take all my classes in Spanish, but that got cancelled because of COVID-19. I am not currently taking any language classes.",Spanish,4,"2 semesters in English, 2 semesters in Spanish",,,,,,,Spanish,1,Spanish,,,,,,,"Yes. I took AP Spanish Language and Culture and received a score of ""5.""","Spanish is my parents' dominant language, so they naturally taught it to me, and English is my community's dominant language, so they also taught it to me (and I learned it from my community, too).",,I mean. I wear glasses/contacts. But nothing super out of the ordinary. ,Spanish (same time as English though),0,4,2 (a little bit of texting),5,"7 (TV, being spoken to by my parents, social media)",English (same time of Spanish though),0,7,7 (all of the above--it's my dominant language),7,7,,,,,,,,,,,,,20,Female
9/19/20 19:21,9/19/20 19:52,IP Address,24.163.77.146,100,1856,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,"Piano, trumpet, guitar, bass, drums, ukulele, voice",19 years,19,,0.07,0.5,"Classical,Popular,Other",Rock,,"Private piano lessons, 1 year of symphonic band, self teaching",Music minor including voice lessons and self teaching,,,,,Trained on sound engineering and worked with Small Town Records,Yes,"California Merit level 10 piano, completed in 2009
Duke Music Department vocal juries",Writing and performing my own music and lyrics,Watching Coldplay’s Strawberry Swing video,"Performing with my my band in major Duke events, performing in open mics, jamming and writing songs together",,,"My partner, my best friend, previously my band ",Yes,"Music is a big part of my relationship with my partner, and hearing my older play piano influenced me a lot in terms of hearing music in the house. Also my older brother’s music playlists were often playing in the house. ",Negative,"In-person and live,Virtual (live),Virtual (pre-recorded)",1,1,0.5,0.5,1,1,0,0,0.5,0,2,0.5,Negative,Negative,Neutral,"The need for masks, precautions around infection, and social distancing is a barrier to group music practice and performance","Born in England, 5 years
US, 21 years",Cantonese and Mandarin,China,"Cantonese with my mother, Mandarin with my father","Parents spoke Chinese to me, grandmother helped raise me also speaking Cantonese ",Parents also spoke some English to me,N/A,China,Continue to speak Chinese on the phone with family but unlikely to visit China any time soon,Negative,Negative,Neutral,,,Continuing to use Duolingo,Spanish,4,Spanish,,,,,,,Spanish,1,Spanish,,,,,,,"AP Spanish - 5
SAT 2 Spanish - 800","Spanish is spoken very commonly in California where I grew up, didn’t want to take French which my brother took",,Optic neuritis in summer 2020 but vision is recovered again,Native,0,7,7,7,7,Advanced,0,3,1,4,3,Advanced,12,3,4,5,4,,,,,,,26,Male
9/22/20 9:23,9/22/20 9:41,IP Address,152.3.23.47,100,1083,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,"flute, piano",28 years,28,1,1,,"Classical,Orchestral,Other",,,band/private lessons,,,BM music,MA music,msuic ,,Yes,secondary school and college ,"I enjoy the actual musical moment, and making music with others",playing with the orchestra,"playing solo, although nerve-racking are hugely gratifying experiences ",,,"currently just myself, and signing in the church choir ",Yes,yes,Neutral,N/A,0,0,0,0,0,0,0,0,0,0,1,2,Neutral,Neutral,Positive,"The beginning of the pandemic gave me an opportunity to practice more, as there was more time at home","Russia (10 years)
Kazakhstan (4 Years)
United States (19 years)",Russian,Russia,"Russian (parents, children)
English (husband, children (sometimes))
German (academic) ",every day,every day,"German (every day, while studying there during the Summer)","Russia, United States",No changes due to internet,Negative,Negative,Neutral,Neutral,,"It is difficult to teach via zoom, and harder to establish connections with students",none,N/A,English,,,,,,,,,,German,self paced,English,German,self paced,English,"SAT - do not remember my score anymore
TOEFL -don't remember the actual number, but it was a perfect score
German (CEFR)- B level ","English- to survive in the US:)
German- academic interest in German music/culture ",,no,native,birth,7,7,7,7,native-like (or at least I think that),14,7,7,7,7,Intermediate ,24,2,0,1,0,,,,,,,34,Female
9/22/20 11:17,9/22/20 11:32,IP Address,65.190.54.205,100,888,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,guitar,35 years,35,2-3,2.5,,Jazz,,,school jazz band,,,,,,self-taught player,Yes,Louis Armstrong award in high school,"creative musical expression, camaraderie with fellow musicians,  satisfaction and freedom of self-employment ",my most vivid memories involve either periphery aspects such as travel experiences or specific musical moments ,"yes, many",Yes,one way is a melody being evocative in a general sense of a time or place.   Another way is when a music conjures an associated memory much as a specific scent can.,"friends, professional colleagues, and random scenarios with other musicians I have not previously met.",Yes,the impact of musicians in my family has been primarily exposure from an early age.  The impact of musical friends is both support and incentive.,Negative,,4,0,,,,,,,6,0,21,14,Negative,Negative,Neutral,primarily simply the loss of live performance opportunity.  I still can teach via skype/zoom but most of my private students had to suspend lessons due to their own situations due to Covid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,Male
9/22/20 23:04,9/22/20 23:17,IP Address,24.152.143.176,100,820,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain for eight months Japan for two years the United States the rest of my life.,English,United States,I speak English with my extended family. I speak Spanish with my sons. I mostly use English with my husband but some Spanish.,I grew up speaking English and learned Spanish as a teenager.,I use English and Spanish equally in the community where I live.,I used Spanish while living in Spain. I was proficient in Japanese when I lived there and also used Spanish and English.,My husband has family in Germany and we visit every couple years. He grew up speaking German with his mother. He speaks German toward children. I understand a lot of it.,I speak English to my husband I speak Spanish to my children and I work online using Spanish.,Neutral,Negative,Negative,Neutral,Positive,I feel that the online class keeps my students very engaged and on task. I’ve also picked up additional students in the evening.,"Spanish, Latin",Four years,Spanish,Spanish,Eight,Spanish,NA,NA,,Spanish,Eight,Spanish,NA,NA,,NA,NA,,No,I had an interest interest in learning other languages and cultures. My college roommate was from Puerto Rico which encouraged me to continue studying Spanish.,,No,Native,Birth,Daily,Daily,Daily,Daily,Native like,16,Daily,Daily,Daily,Daily ,Beginner,35,Never,Never,Occasionally,Daily,,,,,,,48,Female
9/23/20 7:40,9/23/20 8:01,IP Address,99.173.133.100,100,1268,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Student OR Currently receiving formal musical training,"piano, violin",20+ years,20,,0.714,5/week,Classical,,,,,,,,DMA,,No,,"Performing, revisiting old repertoire and learning new",Performing,"Yes, hearing a special performance, as well as vividly remembering a concert I had given in the past. ",,,"Myself, chamber musicians",Yes,I grew up in a musical family and learned to play at the piano through observing and listening to them before my first formal lessons. ,Neutral,N/A,0,0,0,0,0,0,0,0,0,0,3,0,,Positive,,"There are less opportunities for rehearsals and concerts, but staying indoors also gave me more time to practice and explore new repertoire. In the initial months of COVID19, access to practice rooms were unavailable, but later I was able to get my own upright piano in my home. ",USA,Chinese,"Hong Kong, Taiwan","Mandarin Chinese, Cantonese",We speak both dialects at home. ,Most of my friends and community growing up spoke both Mandarin and Cantonese. ,I spent three months in Germany for language studies. ,N/A,No impact.,,Positive,,,,"I rely on resources available online for continued language training, as well as communicating with friends abroad via emails or texts (in German).",French,2,French/English,,,,,,,Chinese,3,Chinese,,,,German,1,German,N/A,Research and personal interest,,No,Chinese,birth,5,6,6,4,English,birth,7,7,7,7,German,21,4,2 (texting),2,4,French,12,3,1,1,2,31,Female
9/24/20 14:17,9/24/20 14:24,IP Address,152.3.43.49,100,398,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA &gt; since birth (20 years)
Guatemala &gt; a few months at the age of 5, a few months at 19 years old ",English and Spanish ,USA and Guatemala ,Spanish and English ,"Both Spanish and English equally used at home, at family events primarily Spanish and some K’iche’","Limited to no Spanish in home community, primarily English ",N/A,Guatemala ,I got a job in retail over the summer and I spoke Spanish with customers who didn’t know English well,Neutral,Negative,Negative,Negative,,N/A,1,2,Spanish ,1,5,Spanish ,,,,,,,,,,,,,AP Spanish Language Exam &lt; 4/5,It wasn’t a choice ,,I’ve worn glasses for nesrsightedness  since the fourth grade ,Native ,0,At least weekly,Weekly,A few times a week,Every day through music and tv,Native ,0,Every day,Every day,Every day,Every day ,,,,,,,,,,,,,20,Female 
9/24/20 13:55,9/24/20 14:24,IP Address,107.15.34.69,100,1730,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,"In order of proficiency: piano, violin, flute, voice, organ",&gt;15 years,15,2,2,,"Classical,Orchestral",,,,,,Finished music major,,,Advanced piano performance and aural skills training,Yes,"dipABRSM from London Royal Academy of Music, 1st and 2nd place in several piano competitions.",Honing an artistic craft and engaging with others to create music. ,"I founded and conducted an instrumental and choral performance group at my high school, and I remember all performances vividly. ","Interestingly, even though I am primarily a soloist, I do not remember much about performing solo at all. On the other hand, I remember most group performances I've participated in very clearly. ",,,On the piano either by myself or accompanying a singer. In choral settings with a large number of singers. ,Yes,"I used to be almost exclusively a soloist, and having musician friends made me move towards more collaborative music making such as choral singing and piano accompaniment. Having friends who are similarly skilled at the piano also compelled me to practice more. ",Negative,"In-person and live,Virtual (pre-recorded)",1,1,,,2.3,2.3,5,5,1,0.13,5,2,,Negative,Negative,"Practice rooms were more difficult to access, which negatively affected my motivation to practice. Virtual choir rehearsals have similar effects, and I feel less engaged in them. ","Birthplace: China, lived for around 8 years. 
Thailand: 4 years  
Italy: 7 years
Durham: 3 years",Mandarin,China,Mandarin,Mandarin was spoken at home,I speak mostly English outside of home,"In almost all countries I've lived in, I speak English at school and the local language (Italian, Thai) outside of school in public. ",Italy,I have not returned to Italy since COVID so I have not spoken Italian for a while,Negative,Negative,Negative,,,Not enrolled in a language course,"Italian, Spanish",8,"English, Italian, Spanish",,,,,,,,,,,,,,,,Took IB Spanish SL and received 7. ,"All schools I attended after China speak English. Italian was required in Italy, and Spanish was similar to Italian so I took the class. ",,,Native,1,2,1,4,3,Native-like,9,7,7,7,7,Intermediate,12,4,4,2,5,Intermediate,15,5,3,2,5,21,Male
9/24/20 14:28,9/24/20 14:41,IP Address,98.26.52.104,100,807,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"United Kingdom (birthplace: lived from ages 0-10)
United States (ages 10-19)","Father’s first language is French and my mother’s first language is Spanish. Both are fully trilingual in their respective first language, Hebrew, and English",Father grew up in Paris until the age of 12 and then moved to Israel. My mother grew up in burnish Aires until the age of 12 and then moved to Israel as well,"We speak Hebrew at home, however I also speak Spanish with my mother and her family",I have had exposure to Hebrew at home and I’m visiting my family in Israel every summer. I have exposure to Spanish through visiting family and hearing it at home. The same is true for French although I personally do not speak French. ,I have had exposure to English through school and different communities within countries I have lived in. I have also had exposure to Hebrew and Spanish and French  through friends of the family and extended family who communicate to me and my parents in these languages,In England I went to an international school which meant I had classmates who spoke Spanish and Hebrew as well. Other than that I have not studied abroad. ,"England
France
Argentina 
Israel","It has made me use Hebrew as I was quarantined at home with my family, and that is the main languages I use at home. The same is true for Spanish. However, I also lost out on the exposure I usually get through spending my summers in Israel",Negative,Negative,Neutral,Negative,Negative,"It was definitely more difficult to continue with my language course when not able to communicate in person. However, I do believe my professor did the best they could given the circumstances",Spanish,8,Spanish,,,,Spanish,1,Spanish,,,,,,,,,,Nope. ,"I learned my third language because I already could speak with relative proficiency, but wanted to be able to better communicate with my family in Argentina and improve my ability to read and write in the lanfuage",,Nope,Native speaker,0,1,1,6,4,Native speaker,3,7,7,7,7,Native-like,5,4,4,4,4,,,,,,,19,Male
9/24/20 14:26,9/24/20 14:41,IP Address,98.26.52.104,100,891,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,"Guitar, Bass, Drums, Production",14 yrs,14,3,3,,"Popular,Other",Indie R&B,,N/A,N/A,,,,,"Self-taught apart from guitar, but guitar lessons for 11 years",Yes,Studio competitions back home ,"Emotional outlet, gratification from writing a song that didn’t exist before you wrote it. Having something that is fully, 100% unique to yourself and your perspective. Sharing this with others is also incredibly special",Playing shows with my band back home. People knowing the words to songs you wrote is crazy,"I’m not sure what musical moments is referring to but yes many of my most special memories involve music, mainly performing it",Yes,"Pretty much every song I like has a specific time period associated with it; sometimes I’ll go back through my chronological list of songs and can relive not so much the exact, specific memories but more so like a trailer of that point in my life and the emotions that I felt during it. For example on my favorites is to go back and listen to Mac Miller’s posthumous album Circles and I feel like I’m back in second semester of Freshman year of college right after rush ended. It was such a perfect time in my life and I feel nostalgic when I listen back to it.","Mainly myself but I have a 4 piece band back home. Many of my friendships actually revolve around music. In high school instead of doing “normal” activities, much of the time my friends and I would just write songs",Yes,My mom was a really good violinist so I definitely feel that impacted me genetically(?) Ive always had a natural feel for pitch and rhythm and have a really good mental ear so I’m able to craft/tweak sounds in my head before trying to make it tangible which is super helpful. Having friends who do music is also awesome because we have similar music taste and I’m able to send them my songs and they feel comfortable critiquing them and understanding the genre etc,Positive,N/A,"Idk if I’m really the person you’re looking for in the study, i don’t really study music anymore, mainly just write/produce so these don’t pertain much to me",NA,,,,,,,,,,,,Positive,Positive,"Honestly been easier to do music, more ambition/influence etc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Male
9/24/20 14:34,9/24/20 14:47,IP Address,172.58.159.140,100,810,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,"Violin, Voice",10 years,10,1,1,,"Classical,Popular",,,Orchestra ,Acapella,,,,,Tutoring and rehearsals ,Yes,Pennsylvania state orchestra competition ,Immersion ,"Bowing violin in 3rd grade, auditioning for chamber orchestra",Most of my auditions and performancesare extremely vivid memories,,,"Acapella group, friends",Yes,Definitely increased my appreciation for it,Negative,,0,0,0,0,1,0,1,0,1,0,1,0,,Negative,Positive,Rehearsals and performances are gone and that has been very sad,Just America,Persian,Iran,"Persian - conversation
Arabic - religious contexts ",Extensive ,Minimal ,Extensive ,None really. I go to Iran quite infrequently ,I can’t interact with as many speakers so it’s made my speaking worse,Negative,Negative,Negative,,Negative,I just can’t practice as much,1,5,English,1,2,English,,,,,,,,,,,,,None ,Spanish is important and I also just like languages,,Eye sight is -3.5,7,1,7,7,7,7,7,1,7,7,7,7,5,10,7,7,7,4,4,12,3,3,3,2,20,Male
9/24/20 14:30,9/24/20 14:51,IP Address,152.3.43.49,100,1284,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The United States - Entire Life (19.5 Years),English and Gujarati,"Durham, North Carolina, USA, and Rajpipla, India","Gujarati and English - both are used for all forms of communication
","I use both Gujarati and English in conversation, speech, writing, and other forms of communications. ","I use Gujarati in the local Indian community, but I primarily use English In most forms of communication.",N/A,India,N/A since I am able to communicate using online services such as WhatsApp.,Neutral,Negative,Negative,,Negative,"Language learning has become very difficult on Zoom and in other online instruction. If possible, this Bass team should look into differences between online and in-person language classes.",Spanish,4,Spanish,Spanish,2,Spanish,,,,,,,,,,,,,N/A,To build my communication skills.,,Yes I have a very slight hearing difficulty in my right ear.,Gujarati,2,6,7,7,7,English,2,7,7,7,7,Spanish,13,4,4,3,3,,,,,,,19,Male
9/24/20 14:51,9/24/20 14:57,IP Address,152.3.43.43,100,344,True,"I am a bilingual who uses 2 languages every day, OR I am a multilingual who uses 3 or more languages every day.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USA. Birthplace: Melbourne, Fl",Spanish,Colombia ,Spanish and English ,Family speaks Spanish all the time. ,Some of the people in my friend group speak Spanish and I occasionally speak to them in Spanish . ,None,Colombia,No,Negative,Negative,Negative,Positive,Neutral,NA,Spanish ,8,Spanish ,,,,,,,,,,,,,,,,Yes. AP Spanish Languge. 5,Was taught Spanish and a young boy. ,,No,Native,19,7,7,7,7,Advanced,19,3,3,3,4,,,,,,,,,,,,,19,Male
9/24/20 14:51,9/24/20 15:12,IP Address,70.162.142.147,100,1237,True,I am a musician and a bilingual/multilingual. (cf. numbers 1 and 2 above),Instrumentalist,Violin and piano,16 years violin and 22 years piano ,22,1 hour day violin piano when I feel like it,1,,"Classical,Orchestral,Popular,Other","Latin pop, Reggaetón, bachata, salsa",,"4 years, symphony orchestra, regionals, strolling strings, TA for younger",Was violin performance major when entering college,,,,,Durham medical orchestra and Private lessons ,Yes,"Concert master, music juror festivals with high school orchestras, yearly superior awards at piano music examinations",Being able to still play music and take lessons. Playing music at weddings and church services.,Playing in an orchestra both in high school and during my PhD,My last memories playing in a quartet at a special event a year ago and my last orchestra concert a year ago with the Durham medical orchestra,,,"My sisters, boyfriend and church choir",Yes,Feel more connected to one another through music,Negative,,0,1,0,0,9,7,0,0,0,0,5,0,,,Negative,Not able to perform or rehearse in person only play on my own,"USA, 26 years",Spanish,Mexico,Spanish and english,Spanish (at home) and English (at school),Not much,None,Mexico,No visitors from Mexico but staying at home this semester so speaking more Spanish  at home,Positive,Negative,Negative,Neutral,Negative,I am not learning a language right now,Spanish,4,English,,,,,,,Spanish,6,Spanish,,,,,,,None,From home my mom speaks spanish,,No,Spanish,2,Seldom,Seldom,Often,Most of time,English,4,Always,Always,Most of time,Sometimes,,,,,,,,,,,,,26,Female
9/24/20 15:01,9/24/20 15:23,IP Address,73.112.73.139,100,1327,True,"I am a professional musician, I am a student majoring or minoring in music, I play a musical instrument or sing every day for at least 2 hours per day, OR I am a faculty member teaching music.",Instrumentalist,cello,10 years,10,"usually 1-1.5, depending on my coursework",1.25,,"Classical,Orchestral",,,yes,,,currently planning to minor in music,,,"weekly private lessons, summer programs",Yes,"Royal Conservatory of Music– Advanced Rudiments Examination (now called ""Level 8 Music Theory:): 98/100 score, ranked ""First Class Honors with Distinction"" (2015)
New Jersey All-State Orchestra– cello, 7th chair (2018)
Interlochen Center for the Arts– cellist, World Youth Symphony Orchestra (2017-2019)","I feel like my life is enriched because of music.  I particularly love it when I've played or worked on a particular piece and then when I hear that piece again in a different context, it jogs my memory and I remember my own personal experience having played it.  I'm also really grateful for all of the friends and connections I've made through music.","I have many, but this one is particularly vivid: On July 1, 2018, I played in a concert at Interlochen and our highlight of the evening was Berlioz's Symphonie Fantastique.  There were storms in northern Michigan that night, so we had to shelter in place in the basement of the outdoor auditorium an hour prior to going on stage. By the time we performed the piece, it was pitch black outside and still rumbles of thunder in the distance.  Our guest conductor made a comment about how Berlioz would've loved to be playing his piece with us in this weather, and then we absolutely rocked the concert",Absolutely!,Yes,"If I hear a piece which I've played before, I'm taken back to the time when I was learning it.","Outside of orchestral playing, I mainly play with friends, and when I can, with family.",Yes,It's because of musicianship in my family that I was exposed to music at a young age and got started in learning it early.,Neutral,Virtual (live),2,2,4,2,,,,,3,0,7,1-2,,Neutral,Neutral,"My practice routine is the only thing which hasn't really changed at all.  Everything else is virtual for me now, especially since I am studying remotely this semester.  I'm still able to have productive lessons, but I miss being able to rehearse with my chamber ensemble in person (it's somewhat stressful at times trying to coordinate everything on Zoom), and we aren't having orchestra rehearsals, but those were some of the highlights of my week and this semester doesn't feel the same without them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,Male
